               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10731,             0.01109,             0.04898,          1.3411e-05,           0.0034483,          6.8615e-06,          1.3723e-06,            0.087119,           0.0088916,            0.047622,             0.00024,             0.00024,             0.09784
                   1,            0.096402,            0.012411,            0.047816,           2.067e-05,           0.0035714,          1.1414e-05,          4.5656e-06,            0.082632,           0.0091351,            0.046784,          0.00048999,          0.00048999,             0.09559
                   2,            0.092339,            0.012325,            0.047111,                   0,                   0,                   0,                   0,            0.082112,            0.009016,            0.046242,          0.00073993,          0.00073993,             0.09334
                   3,            0.090915,            0.012319,            0.046355,               4e-05,           0.0071429,          2.0829e-05,          5.1862e-06,            0.081799,           0.0089281,            0.045807,          0.00098978,          0.00098978,             0.09109
                   4,             0.08894,            0.013114,            0.045635,          0.00022393,               0.005,          2.9032e-05,          8.7095e-06,            0.081923,           0.0088593,            0.045605,           0.0012395,           0.0012395,             0.08884
                   5,            0.083506,            0.012137,            0.045354,          0.00012019,           0.0070197,          5.0413e-05,           1.115e-05,            0.072413,           0.0093045,            0.044928,           0.0014891,           0.0014891,            0.086589
                   6,             0.07494,            0.013193,             0.04511,           0.0017567,            0.027488,          0.00068696,          0.00014487,             0.06446,           0.0096214,            0.044885,           0.0017385,           0.0017385,            0.084338
                   7,            0.066092,            0.014186,            0.044995,            0.004252,            0.064384,            0.003472,           0.0011307,            0.052579,            0.010112,            0.044594,           0.0019876,           0.0019876,            0.082088
                   8,            0.058046,             0.01437,            0.044839,            0.002425,             0.23823,           0.0018401,          0.00075215,            0.044353,            0.010428,            0.043715,           0.0022365,           0.0022365,            0.079836
                   9,            0.052295,            0.014734,            0.044566,            0.023496,             0.22691,            0.022549,           0.0090428,            0.046241,             0.01001,            0.043667,            0.002485,            0.002485,            0.077585
                  10,            0.049348,            0.014782,             0.04437,            0.035274,             0.51139,            0.047931,            0.015499,            0.042323,           0.0093614,            0.044068,           0.0027332,           0.0027332,            0.075333
                  11,            0.046383,            0.014363,            0.044265,            0.044848,             0.24067,            0.047751,            0.015592,            0.036959,           0.0092896,            0.043484,           0.0029811,           0.0029811,            0.073081
                  12,            0.042802,            0.014153,            0.043936,            0.094834,             0.19778,             0.10168,            0.057179,            0.029434,           0.0088318,            0.042734,           0.0032285,           0.0032285,            0.070829
                  13,            0.042135,            0.013073,            0.044004,            0.065497,             0.46498,            0.066132,            0.014776,            0.045588,           0.0076491,            0.042933,           0.0034755,           0.0034755,            0.068575
                  14,            0.040373,             0.01215,            0.043326,             0.35584,              0.2349,             0.16886,            0.095784,            0.029747,           0.0077703,            0.042546,           0.0037219,           0.0037219,            0.066322
                  15,            0.039704,            0.011504,            0.043303,             0.58144,              0.2304,             0.19953,            0.064178,            0.037571,           0.0072523,            0.041883,           0.0039679,           0.0039679,            0.064068
                  16,            0.038069,            0.011302,            0.043417,             0.37716,             0.33628,             0.25209,             0.14982,            0.029023,           0.0071438,            0.041238,           0.0042133,           0.0042133,            0.061813
                  17,            0.038115,            0.009986,            0.042492,             0.17991,             0.50636,             0.22751,             0.12092,            0.029415,           0.0070057,            0.041364,           0.0044581,           0.0044581,            0.059558
                  18,             0.03618,            0.010255,            0.041711,             0.28677,             0.52655,             0.31516,             0.19932,            0.027486,           0.0066196,            0.038501,           0.0047022,           0.0047022,            0.057302
                  19,            0.036428,           0.0098593,             0.04024,             0.22189,             0.67013,              0.3748,             0.23959,            0.024687,           0.0065662,            0.035419,           0.0049457,           0.0049457,            0.055046
                  20,            0.045389,            0.010654,            0.037612,             0.28914,             0.42532,             0.30536,             0.13245,            0.038622,           0.0066404,            0.031461,           0.0051885,           0.0051885,            0.052788
                  21,            0.043691,            0.010824,            0.034446,             0.23263,             0.50993,             0.34992,             0.14041,             0.03267,           0.0066497,            0.027954,           0.0054305,           0.0054305,            0.050531
                  22,            0.043039,           0.0098776,            0.030915,             0.23638,             0.67881,             0.35976,             0.13692,            0.043871,            0.006944,            0.022996,           0.0056718,           0.0056718,            0.048272
                  23,            0.042688,            0.009449,            0.026449,             0.33905,             0.50929,             0.47302,             0.23912,             0.03139,           0.0062427,            0.018788,           0.0059122,           0.0059122,            0.046012
                  24,            0.042604,           0.0094568,            0.024245,             0.60564,             0.41576,             0.48078,             0.31346,             0.03086,           0.0064335,            0.018567,           0.0061518,           0.0061518,            0.043752
                  25,            0.042712,           0.0088209,             0.02271,             0.49121,             0.41933,             0.32692,            0.088712,            0.044684,           0.0059935,            0.017591,           0.0063905,           0.0063905,             0.04149
                  26,            0.042456,           0.0090315,            0.021244,             0.81883,             0.48331,             0.53305,              0.2191,            0.034516,           0.0061354,            0.016724,           0.0066283,           0.0066283,            0.039228
                  27,            0.041728,           0.0084915,            0.019208,             0.80081,             0.51163,             0.54292,             0.24718,            0.029855,           0.0058899,            0.016201,           0.0068651,           0.0068651,            0.036965
                  28,            0.040558,           0.0084336,            0.018432,             0.89434,             0.53609,             0.59454,             0.33381,            0.027341,           0.0057246,            0.014265,           0.0071009,           0.0071009,            0.034701
                  29,             0.03989,           0.0081468,            0.017648,             0.55914,             0.63527,              0.6724,             0.32614,            0.032388,            0.005571,            0.014024,           0.0073358,           0.0073358,            0.032436
                  30,            0.037847,           0.0083969,            0.016109,             0.41195,              0.6381,             0.54956,             0.31961,            0.034403,           0.0052831,            0.013454,           0.0075695,           0.0075695,             0.03017
                  31,            0.038302,           0.0077718,             0.01599,             0.48226,             0.74839,             0.63053,             0.29334,            0.031461,           0.0053344,            0.014242,           0.0078022,           0.0078022,            0.027902
                  32,            0.039335,           0.0080786,            0.014701,             0.63606,             0.74212,             0.64395,             0.26513,            0.038758,           0.0052661,             0.01055,           0.0080337,           0.0080337,            0.025634
                  33,            0.038627,           0.0075945,            0.013769,             0.65113,             0.84142,             0.78939,             0.46308,            0.026664,           0.0051013,            0.010197,           0.0082641,           0.0082641,            0.023364
                  34,            0.037805,           0.0073675,            0.012024,             0.66523,             0.81241,             0.76674,             0.47007,            0.028954,           0.0051239,            0.014346,           0.0084933,           0.0084933,            0.021093
                  35,            0.036858,           0.0072684,            0.010865,             0.62021,             0.69876,             0.68922,             0.37737,            0.027509,           0.0052831,            0.015016,           0.0087213,           0.0087213,            0.018821
                  36,               0.038,           0.0069941,            0.010009,             0.76008,             0.89086,             0.84566,              0.5524,            0.027664,           0.0048724,           0.0081398,            0.008948,            0.008948,            0.016548
                  37,            0.036911,           0.0068559,           0.0092104,              0.7872,              0.8129,             0.83325,             0.50133,            0.026687,           0.0051227,            0.008338,           0.0091734,           0.0091734,            0.014273
                  38,            0.037024,           0.0066237,           0.0078634,             0.61278,             0.89667,             0.77508,             0.40055,            0.027645,           0.0048243,           0.0078948,           0.0093975,           0.0093975,            0.011998
                  39,            0.036201,           0.0063993,           0.0070749,             0.76745,             0.78635,             0.84889,             0.36289,            0.030142,           0.0046547,           0.0097364,           0.0096203,           0.0096203,           0.0097203
                  40,            0.035171,           0.0065329,           0.0065749,             0.87788,              0.8141,             0.89907,             0.59099,            0.023781,           0.0049012,           0.0096597,            0.009611,            0.009611,            0.009611
                  41,            0.033538,           0.0059601,           0.0059928,             0.91733,             0.87359,             0.93608,             0.49427,            0.025825,           0.0045228,           0.0074551,            0.009611,            0.009611,            0.009611
                  42,            0.033354,           0.0062492,           0.0062753,             0.83541,             0.81382,             0.86311,             0.48763,             0.02552,           0.0050675,           0.0089024,           0.0095916,           0.0095916,           0.0095916
                  43,            0.033157,           0.0060485,           0.0058277,             0.82967,             0.92097,             0.93211,             0.63454,             0.02181,           0.0042061,           0.0064215,           0.0095717,           0.0095717,           0.0095717
                  44,            0.031314,           0.0058873,           0.0050025,             0.83726,              0.9385,              0.9398,             0.67211,            0.022009,           0.0039114,           0.0056915,           0.0095514,           0.0095514,           0.0095514
                  45,            0.029541,           0.0057222,           0.0053966,             0.85392,             0.88747,             0.90374,             0.62207,            0.020164,           0.0045369,           0.0080009,           0.0095307,           0.0095307,           0.0095307
                  46,            0.029908,           0.0055223,           0.0045549,             0.89168,             0.89936,             0.94117,             0.62566,            0.021912,           0.0042526,           0.0059694,           0.0095095,           0.0095095,           0.0095095
                  47,            0.030135,            0.005552,           0.0041891,             0.88888,             0.97554,             0.95179,             0.71939,            0.019384,           0.0035847,           0.0048423,           0.0094879,           0.0094879,           0.0094879
                  48,            0.030799,           0.0056313,           0.0049535,             0.88948,             0.97694,             0.95178,             0.55671,            0.020345,           0.0035426,           0.0047273,           0.0094659,           0.0094659,           0.0094659
                  49,            0.030171,           0.0053794,           0.0042022,             0.93734,             0.95719,             0.95504,             0.70839,             0.01775,           0.0033633,           0.0048352,           0.0094434,           0.0094434,           0.0094434
                  50,            0.029939,           0.0050517,           0.0034682,             0.90732,             0.98145,             0.96334,             0.70457,             0.02071,           0.0033576,           0.0045674,           0.0094205,           0.0094205,           0.0094205
                  51,             0.02737,           0.0049869,           0.0039612,             0.92194,             0.95095,             0.95632,             0.72856,             0.01714,           0.0032572,           0.0053762,           0.0093971,           0.0093971,           0.0093971
                  52,            0.027377,           0.0051599,           0.0039338,             0.92137,             0.95007,             0.96663,             0.74501,            0.016993,           0.0033428,           0.0046843,           0.0093733,           0.0093733,           0.0093733
                  53,            0.027083,           0.0048964,           0.0031438,             0.94854,             0.92488,             0.98254,             0.68884,            0.017974,           0.0032667,           0.0045536,           0.0093491,           0.0093491,           0.0093491
                  54,            0.027818,            0.004933,           0.0032046,             0.95104,             0.96299,             0.97813,             0.72207,            0.018824,           0.0032367,           0.0052103,           0.0093245,           0.0093245,           0.0093245
                  55,             0.02547,           0.0046751,           0.0030677,             0.93994,             0.98643,              0.9697,             0.71233,            0.018128,           0.0030448,           0.0045436,           0.0092995,           0.0092995,           0.0092995
                  56,            0.026676,           0.0047745,           0.0035501,             0.92668,              0.9871,             0.96581,              0.7588,            0.016358,           0.0031509,           0.0045181,            0.009274,            0.009274,            0.009274
                  57,            0.024602,           0.0046034,           0.0034024,             0.93854,             0.97696,              0.9761,             0.75785,            0.016904,           0.0029772,           0.0052954,           0.0092481,           0.0092481,           0.0092481
                  58,             0.02557,           0.0044309,           0.0030325,             0.91881,              0.9724,             0.97837,             0.74609,            0.016735,           0.0030038,           0.0063333,           0.0092219,           0.0092219,           0.0092219
                  59,            0.026946,           0.0046737,           0.0033484,              0.9344,             0.98643,             0.97534,              0.7516,            0.016225,           0.0029698,           0.0044359,           0.0091952,           0.0091952,           0.0091952
                  60,             0.02679,           0.0046613,             0.00269,             0.97156,             0.99133,             0.98112,             0.72133,            0.019845,           0.0028125,           0.0043736,           0.0091681,           0.0091681,           0.0091681
                  61,            0.026008,           0.0044286,           0.0030917,             0.96841,             0.98363,             0.98075,             0.72675,            0.017199,           0.0028257,           0.0046609,           0.0091406,           0.0091406,           0.0091406
                  62,            0.026969,           0.0045657,           0.0028071,             0.97798,             0.97937,             0.98092,             0.75518,             0.01644,           0.0027979,            0.004391,           0.0091127,           0.0091127,           0.0091127
                  63,            0.022636,           0.0042835,           0.0029251,             0.95148,             0.98641,             0.97936,             0.77443,            0.015214,           0.0026547,           0.0049988,           0.0090844,           0.0090844,           0.0090844
                  64,            0.024317,           0.0041575,            0.002545,             0.93138,             0.97796,             0.97891,             0.73854,            0.017813,           0.0028539,           0.0040513,           0.0090557,           0.0090557,           0.0090557
                  65,            0.023335,            0.004302,           0.0025999,             0.91849,             0.94709,             0.97876,             0.75307,            0.016898,           0.0028678,            0.006561,           0.0090266,           0.0090266,           0.0090266
                  66,            0.024438,            0.004217,            0.002408,             0.94311,             0.94085,             0.97503,             0.75395,            0.016506,            0.002811,           0.0051186,           0.0089972,           0.0089972,           0.0089972
                  67,            0.022453,           0.0039612,           0.0021035,             0.98051,             0.98706,             0.98522,             0.77672,            0.016505,           0.0025552,            0.003991,           0.0089673,           0.0089673,           0.0089673
                  68,            0.024106,           0.0042264,           0.0021448,             0.95433,               0.988,             0.97904,             0.75657,            0.016794,           0.0026068,           0.0043204,           0.0089371,           0.0089371,           0.0089371
                  69,            0.025112,           0.0040732,            0.002411,             0.96911,             0.97032,              0.9814,             0.77615,            0.015153,           0.0025941,           0.0046479,           0.0089065,           0.0089065,           0.0089065
                  70,            0.022551,           0.0043074,           0.0025806,             0.95081,             0.97632,             0.97736,             0.77646,            0.016815,           0.0025644,           0.0059022,           0.0088755,           0.0088755,           0.0088755
                  71,            0.024102,           0.0041921,            0.002608,             0.95127,             0.97186,             0.97869,             0.78075,            0.015752,            0.002659,           0.0042277,           0.0088442,           0.0088442,           0.0088442
                  72,            0.022922,            0.004187,           0.0023814,              0.9263,             0.98641,             0.97878,             0.78979,            0.014963,           0.0025567,           0.0048416,           0.0088124,           0.0088124,           0.0088124
