               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1172,            0.036753,            0.051416,           0.0011084,            0.038793,          0.00040636,          0.00013677,             0.10176,            0.029726,            0.049703,             0.00049,             0.00049,             0.09559
                   1,            0.093634,            0.036298,            0.047721,            0.031247,             0.33239,            0.026206,           0.0074098,            0.064086,            0.029495,            0.047242,          0.00098998,          0.00098998,             0.09109
                   2,            0.060953,            0.030887,            0.045702,             0.49017,              0.1449,             0.10362,            0.039654,            0.060723,             0.02221,            0.044468,           0.0014899,           0.0014899,             0.08659
                   3,            0.063534,            0.024944,            0.043632,             0.54414,             0.27097,             0.16874,            0.060176,            0.053847,            0.019085,             0.04318,           0.0019896,           0.0019896,             0.08209
                   4,            0.058916,            0.023845,            0.043573,             0.55542,             0.24533,             0.18254,             0.05533,            0.050674,            0.017292,            0.042309,            0.002489,            0.002489,            0.077589
                   5,            0.054405,            0.021655,            0.041752,             0.70471,             0.30756,             0.34974,             0.14835,            0.042009,            0.015694,            0.040257,           0.0029882,           0.0029882,            0.073088
                   6,            0.051561,            0.019964,            0.039599,             0.79783,             0.39569,              0.4479,             0.23234,            0.043187,            0.014469,            0.034947,           0.0034869,           0.0034869,            0.068587
                   7,            0.050406,            0.018758,            0.034291,             0.82078,             0.46056,              0.5013,             0.23248,            0.040996,            0.013017,            0.027697,           0.0039852,           0.0039852,            0.064085
                   8,            0.049844,            0.017669,            0.028985,               0.873,             0.47651,             0.55359,             0.24418,            0.039977,            0.012459,            0.022572,           0.0044829,           0.0044829,            0.059583
                   9,            0.048445,            0.017576,            0.024373,             0.66178,             0.50857,             0.40568,             0.18271,            0.038857,            0.011691,            0.020707,             0.00498,             0.00498,             0.05508
                  10,            0.055861,            0.017055,            0.022575,             0.69807,             0.48223,             0.38854,             0.17159,            0.046306,            0.011671,            0.018328,           0.0054765,           0.0054765,            0.050576
                  11,            0.051777,            0.017058,            0.021188,             0.74932,             0.53882,             0.49058,             0.22736,            0.042447,            0.011109,            0.017165,           0.0059721,           0.0059721,            0.046072
                  12,            0.048345,            0.015793,            0.018939,             0.38807,             0.76847,             0.67433,             0.29482,            0.043983,            0.010639,            0.015619,            0.006467,            0.006467,            0.041567
                  13,            0.048305,            0.015491,            0.016651,             0.58551,             0.81096,             0.74983,             0.36574,            0.041563,           0.0098111,            0.013756,           0.0069609,           0.0069609,            0.037061
                  14,            0.044267,            0.015164,            0.015243,              0.4572,             0.88915,             0.67658,             0.32952,            0.040733,             0.01017,            0.017405,           0.0074538,           0.0074538,            0.032554
                  15,             0.04683,            0.014914,             0.01572,              0.4705,             0.61258,             0.60468,             0.30044,            0.037581,            0.011149,            0.032611,           0.0079457,           0.0079457,            0.028046
                  16,            0.044053,            0.014559,            0.013089,             0.69302,              0.7581,             0.79123,             0.45296,            0.036891,            0.010712,            0.011591,           0.0084365,           0.0084365,            0.023536
                  17,            0.050142,            0.014463,            0.011273,             0.62276,             0.90086,             0.77124,             0.38929,            0.033589,           0.0095647,           0.0094223,           0.0089261,           0.0089261,            0.019026
                  18,             0.04495,            0.014753,            0.010602,             0.84828,             0.80783,             0.93537,               0.594,            0.030538,           0.0099463,            0.008707,           0.0094144,           0.0094144,            0.014514
                  19,            0.043168,            0.014262,           0.0091227,             0.70806,              0.7477,             0.80283,             0.43769,            0.037235,            0.011108,           0.0096223,           0.0099013,           0.0099013,            0.010001
                  20,            0.042996,            0.013139,           0.0077323,             0.82603,             0.87718,             0.92814,             0.62031,            0.033021,           0.0085631,           0.0074524,           0.0099017,           0.0099017,           0.0099017
                  21,            0.041066,             0.01339,           0.0083463,             0.83724,             0.84565,             0.86501,             0.54064,             0.03108,           0.0090689,            0.011972,           0.0099017,           0.0099017,           0.0099017
                  22,            0.038291,            0.013229,           0.0073246,             0.94637,             0.96245,             0.96484,             0.59091,            0.026761,           0.0083815,           0.0081841,           0.0098916,           0.0098916,           0.0098916
                  23,            0.037953,            0.012876,           0.0062913,             0.82312,             0.95285,              0.9056,             0.60311,            0.034375,           0.0082406,           0.0063263,           0.0098811,           0.0098811,           0.0098811
                  24,            0.033585,            0.011936,           0.0056059,             0.92603,              0.9551,             0.97879,             0.69347,            0.025967,           0.0080833,           0.0056542,           0.0098701,           0.0098701,           0.0098701
                  25,            0.032703,            0.011893,            0.005322,             0.95033,             0.98998,             0.98389,             0.74405,            0.024723,           0.0077035,           0.0048799,           0.0098586,           0.0098586,           0.0098586
                  26,            0.033021,            0.012116,           0.0053348,             0.96132,             0.98685,             0.98021,             0.69649,             0.02531,            0.007771,           0.0058494,           0.0098467,           0.0098467,           0.0098467
                  27,             0.03066,            0.011825,           0.0051434,              0.9439,             0.98879,             0.97876,             0.73122,            0.024434,            0.007524,           0.0053348,           0.0098342,           0.0098342,           0.0098342
                  28,             0.03163,            0.011746,           0.0051208,             0.72356,             0.76687,             0.74267,             0.56761,            0.023786,            0.011853,            0.034561,           0.0098213,           0.0098213,           0.0098213
                  29,            0.030188,            0.011912,           0.0053682,             0.90025,             0.93673,             0.95549,              0.7114,            0.020264,           0.0076723,           0.0081333,           0.0098079,           0.0098079,           0.0098079
                  30,            0.030831,            0.011736,           0.0046082,             0.91441,             0.98135,             0.98105,             0.66241,             0.02791,           0.0075015,           0.0050642,           0.0097941,           0.0097941,           0.0097941
                  31,            0.031763,            0.011385,           0.0040542,             0.98262,             0.98643,             0.98466,             0.71478,            0.022497,           0.0072508,           0.0060111,           0.0097798,           0.0097798,           0.0097798
                  32,             0.02981,            0.011482,           0.0043694,             0.97892,             0.95427,             0.96591,             0.71924,            0.019949,           0.0068112,           0.0046509,            0.009765,            0.009765,            0.009765
                  33,            0.028522,            0.011003,           0.0038626,             0.96475,             0.98225,             0.97693,             0.73598,            0.023607,           0.0072393,           0.0057003,           0.0097497,           0.0097497,           0.0097497
                  34,            0.030135,            0.011183,           0.0039727,             0.96302,             0.96015,              0.9773,             0.74883,            0.023051,           0.0074478,           0.0063924,            0.009734,            0.009734,            0.009734
                  35,             0.03003,            0.011709,           0.0042939,             0.96156,              0.9731,             0.97638,             0.73226,            0.024127,           0.0076151,           0.0057744,           0.0097178,           0.0097178,           0.0097178
                  36,            0.028494,            0.011477,           0.0035002,              0.9786,             0.98643,             0.98669,             0.74033,             0.02198,           0.0070721,           0.0048341,           0.0097011,           0.0097011,           0.0097011
                  37,            0.027477,            0.010788,           0.0036393,             0.98044,             0.97361,             0.98449,             0.78738,            0.017994,           0.0067401,           0.0049947,            0.009684,            0.009684,            0.009684
                  38,            0.024743,            0.010685,           0.0034259,             0.97315,             0.98425,             0.97849,             0.74945,            0.019492,           0.0065701,           0.0046597,           0.0096664,           0.0096664,           0.0096664
                  39,            0.027692,            0.010398,           0.0031344,             0.98026,             0.99142,              0.9844,             0.77346,            0.020709,           0.0066215,           0.0050916,           0.0096484,           0.0096484,           0.0096484
                  40,            0.027027,            0.010462,           0.0033331,             0.98371,             0.98948,              0.9892,             0.69133,            0.019358,           0.0066586,           0.0045003,           0.0096299,           0.0096299,           0.0096299
                  41,            0.026731,            0.010178,           0.0031667,             0.97646,              0.9729,             0.98766,             0.74742,            0.021118,           0.0069847,           0.0048696,            0.009611,            0.009611,            0.009611
                  42,            0.027196,            0.010581,           0.0032238,             0.94979,             0.99142,             0.98042,             0.78598,            0.016497,           0.0064903,           0.0056842,           0.0095916,           0.0095916,           0.0095916
                  43,            0.025809,            0.010377,           0.0026791,             0.98508,             0.98867,             0.97874,             0.72078,            0.019982,            0.006487,           0.0043937,           0.0095717,           0.0095717,           0.0095717
                  44,            0.024249,            0.010045,           0.0026053,             0.98363,             0.98571,              0.9868,             0.79981,            0.016559,           0.0062161,           0.0047947,           0.0095514,           0.0095514,           0.0095514
                  45,            0.025357,             0.01046,           0.0030156,             0.98632,             0.99143,             0.98663,             0.77454,            0.019399,           0.0066977,           0.0042885,           0.0095307,           0.0095307,           0.0095307
                  46,            0.025658,            0.010169,            0.002788,             0.98538,             0.99143,             0.98787,             0.78859,             0.01867,           0.0065203,           0.0048507,           0.0095095,           0.0095095,           0.0095095
                  47,            0.023324,           0.0097605,           0.0025686,             0.98191,             0.99143,             0.98581,              0.7834,            0.016086,           0.0062069,            0.004653,           0.0094879,           0.0094879,           0.0094879
                  48,            0.023887,            0.010192,           0.0022769,             0.98493,             0.99143,             0.98282,             0.81083,            0.017042,           0.0062876,           0.0044355,           0.0094659,           0.0094659,           0.0094659
                  49,            0.022243,           0.0096021,           0.0026028,             0.97852,             0.98609,             0.98382,             0.77043,            0.017546,           0.0064069,           0.0047265,           0.0094434,           0.0094434,           0.0094434
                  50,            0.023403,           0.0099244,           0.0027842,             0.97774,             0.96359,             0.97463,             0.77786,            0.019819,           0.0068407,           0.0048137,           0.0094205,           0.0094205,           0.0094205
                  51,            0.024787,           0.0098405,           0.0028449,             0.98529,             0.98931,             0.98679,             0.76808,            0.018746,           0.0062839,           0.0043147,           0.0093971,           0.0093971,           0.0093971
                  52,            0.024037,           0.0093969,           0.0025896,             0.98271,             0.99143,             0.98833,             0.77785,            0.016398,           0.0061764,           0.0038786,           0.0093733,           0.0093733,           0.0093733
