               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12769,             0.03324,             0.04596,            0.000549,           0.0034722,          4.1669e-05,          8.3337e-06,             0.12185,            0.027791,            0.044299,              0.0001,              0.0001,              0.0991
                   1,             0.12305,             0.02789,            0.044004,            0.002616,           0.0034722,          0.00029693,          4.8465e-05,             0.11406,             0.02665,            0.041556,          0.00020999,          0.00020999,             0.09811
                   2,             0.11888,            0.028981,            0.042283,          0.00070639,            0.017361,          0.00027445,           8.101e-05,             0.11017,            0.026881,            0.039803,          0.00031997,          0.00031997,             0.09712
                   3,              0.1153,            0.028975,            0.040799,           0.0017127,            0.053203,           0.0010777,          0.00027998,             0.10598,            0.027687,             0.03853,           0.0004299,           0.0004299,             0.09613
                   4,             0.10949,            0.031245,              0.0397,           0.0047328,              0.1969,           0.0042863,          0.00085658,            0.094688,            0.027662,             0.04009,          0.00053979,          0.00053979,             0.09514
                   5,            0.095891,            0.032426,            0.040464,            0.015658,             0.32866,            0.017996,           0.0034529,            0.080706,            0.028882,            0.040792,           0.0006496,           0.0006496,             0.09415
                   6,            0.080512,            0.033132,            0.040242,            0.049461,             0.49815,            0.058635,            0.014665,            0.068352,            0.030272,            0.039341,          0.00075933,          0.00075933,            0.093159
                   7,            0.074145,            0.029985,            0.039702,            0.069105,             0.58019,             0.10084,            0.032351,            0.060637,            0.026586,            0.038842,          0.00086895,          0.00086895,            0.092169
                   8,            0.070984,            0.028966,            0.039038,             0.14588,             0.53265,             0.17881,             0.05105,            0.065286,            0.022605,            0.037523,          0.00097845,          0.00097845,            0.091178
                   9,             0.06939,            0.025186,            0.038917,             0.15046,             0.44587,             0.18691,            0.051608,            0.053377,            0.021211,            0.036482,           0.0010878,           0.0010878,            0.090188
                  10,            0.064879,            0.025746,            0.037744,             0.20019,             0.54625,             0.25861,             0.10379,            0.051399,            0.019909,            0.034857,            0.001197,            0.001197,            0.089197
                  11,            0.064312,            0.023555,            0.036264,             0.22794,             0.51296,             0.32789,             0.14998,            0.051044,            0.019379,            0.033014,           0.0013061,           0.0013061,            0.088206
                  12,             0.06398,             0.02277,            0.035723,             0.27595,              0.5365,             0.39573,             0.21951,            0.047904,            0.017673,            0.031961,            0.001415,            0.001415,            0.087215
                  13,            0.061356,            0.022407,            0.034218,             0.29233,             0.52481,              0.3984,             0.15431,             0.04966,            0.015863,            0.030597,           0.0015236,           0.0015236,            0.086224
                  14,            0.060175,            0.020506,            0.032659,             0.42165,             0.56363,             0.51231,             0.24984,            0.041759,            0.014861,            0.028602,           0.0016321,           0.0016321,            0.085232
                  15,            0.061316,            0.019912,            0.031308,             0.70277,             0.44135,             0.46881,             0.20217,            0.046568,            0.015204,            0.025721,           0.0017403,           0.0017403,             0.08424
                  16,            0.061647,            0.020641,            0.027895,             0.42011,             0.53489,             0.53686,             0.18622,            0.057222,            0.013245,            0.022783,           0.0018483,           0.0018483,            0.083248
                  17,            0.063102,            0.018015,             0.02559,             0.51483,              0.6129,             0.62769,             0.31912,            0.040762,            0.013689,             0.02268,            0.001956,            0.001956,            0.082256
                  18,            0.058478,            0.018259,            0.022907,             0.41456,              0.6779,             0.59083,             0.26532,            0.042946,            0.013043,            0.017794,           0.0020634,           0.0020634,            0.081263
                  19,            0.058765,            0.017619,            0.020347,             0.44405,              0.7687,             0.63024,             0.33636,            0.050994,             0.01288,            0.015219,           0.0021706,           0.0021706,            0.080271
                  20,            0.058117,            0.017381,            0.017744,             0.81917,             0.71062,              0.7952,             0.43616,            0.040619,             0.01265,            0.013289,           0.0022774,           0.0022774,            0.079277
                  21,            0.058376,             0.01688,            0.016403,             0.34359,             0.72613,             0.46012,             0.26832,             0.05378,            0.012107,            0.012062,           0.0023839,           0.0023839,            0.078284
                  22,            0.060401,            0.016013,            0.014909,             0.59055,             0.86937,             0.83551,             0.52494,            0.049089,            0.011277,            0.010774,             0.00249,             0.00249,             0.07729
                  23,            0.056322,            0.015396,            0.013283,             0.71674,             0.84166,             0.89855,             0.55171,             0.03975,            0.011655,              0.0104,           0.0025958,           0.0025958,            0.076296
                  24,            0.055676,            0.016715,            0.011854,             0.66165,             0.82314,             0.82748,             0.48476,             0.04274,            0.011512,           0.0086507,           0.0027013,           0.0027013,            0.075301
                  25,            0.055556,            0.016155,            0.010577,             0.48048,             0.84599,             0.78078,              0.4575,            0.052006,            0.012494,            0.012916,           0.0028063,           0.0028063,            0.074306
                  26,             0.05629,            0.015206,            0.010588,              0.5868,             0.80365,             0.74606,             0.30472,            0.053071,            0.010805,            0.007171,           0.0029109,           0.0029109,            0.073311
                  27,            0.053781,            0.014718,             0.00849,             0.71763,             0.88702,             0.85939,             0.48336,            0.036874,            0.010742,           0.0070032,           0.0030151,           0.0030151,            0.072315
                  28,            0.051743,            0.014629,            0.007761,             0.82906,             0.90375,             0.93519,             0.46739,            0.038763,            0.010319,           0.0054318,           0.0031189,           0.0031189,            0.071319
                  29,            0.053427,            0.015213,           0.0076519,             0.75649,             0.88571,             0.83653,             0.49289,            0.044825,            0.010331,            0.011082,           0.0032223,           0.0032223,            0.070322
                  30,            0.052958,            0.014827,           0.0072064,             0.82941,             0.96018,             0.91006,             0.50478,            0.045807,            0.009846,           0.0054399,           0.0033251,           0.0033251,            0.069325
                  31,            0.053911,            0.014443,           0.0072541,             0.89813,             0.95125,             0.97469,             0.62325,            0.038824,           0.0097775,            0.005335,           0.0034275,           0.0034275,            0.068328
